10|100|5000|20|6000000|10
1,10000|2,10000|3,10000|4,10000|5,10500|6,10000|7,10000|8,10000|9,10000|10,10000
1|25
2|25
3|20
4|15
5|13
6|12
7|15
8|10
9|12
10|4
